,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Tag,Artist,Name,Popularity
582,0.77,0.167,3,-16.692,1,0.0401,0.668,0.907,0.173,0.133,136.046,audio_features,6ZFHrhc5bS1uZV8it8gmA3,spotify:track:6ZFHrhc5bS1uZV8it8gmA3,https://api.spotify.com/v1/tracks/6ZFHrhc5bS1uZV8it8gmA3,https://api.spotify.com/v1/audio-analysis/6ZFHrhc5bS1uZV8it8gmA3,170461,4,Study,WYS,Washed Out,57
583,0.812,0.134,6,-17.484,0,0.0326,0.91,0.946,0.173,0.13,139.938,audio_features,5MbOfHhrOkmopsnyWim6Ko,spotify:track:5MbOfHhrOkmopsnyWim6Ko,https://api.spotify.com/v1/tracks/5MbOfHhrOkmopsnyWim6Ko,https://api.spotify.com/v1/audio-analysis/5MbOfHhrOkmopsnyWim6Ko,171429,4,Study,Jhove,before i met you,59
584,0.698,0.232,5,-13.833,1,0.0417,0.764,0.924,0.125,0.199,143.98,audio_features,2Tmy66KdguCZGbT1xOwVBm,spotify:track:2Tmy66KdguCZGbT1xOwVBm,https://api.spotify.com/v1/tracks/2Tmy66KdguCZGbT1xOwVBm,https://api.spotify.com/v1/audio-analysis/2Tmy66KdguCZGbT1xOwVBm,176667,4,Study,Jhove,beyond the stars,55
585,0.733,0.0248,11,-18.85,1,0.0422,0.956,0.969,0.372,0.0398,131.963,audio_features,6YpGfqB0UlgoGrZWfGVkZA,spotify:track:6YpGfqB0UlgoGrZWfGVkZA,https://api.spotify.com/v1/tracks/6YpGfqB0UlgoGrZWfGVkZA,https://api.spotify.com/v1/audio-analysis/6YpGfqB0UlgoGrZWfGVkZA,138163,4,Study,Jhove,closed eyes,59
586,0.629,0.0453,4,-18.688,1,0.0368,0.921,0.949,0.0937,0.121,140.04,audio_features,4qsLJK83AZMCEaBWxaI8qg,spotify:track:4qsLJK83AZMCEaBWxaI8qg,https://api.spotify.com/v1/tracks/4qsLJK83AZMCEaBWxaI8qg,https://api.spotify.com/v1/audio-analysis/4qsLJK83AZMCEaBWxaI8qg,130286,4,Study,Jhove,time flies,58
587,0.754,0.109,11,-15.263,1,0.0893,0.884,0.932,0.17,0.303,74.981,audio_features,3OttkRIIkSHFHywmFyquC2,spotify:track:3OttkRIIkSHFHywmFyquC2,https://api.spotify.com/v1/tracks/3OttkRIIkSHFHywmFyquC2,https://api.spotify.com/v1/audio-analysis/3OttkRIIkSHFHywmFyquC2,188799,3,Study,Jhove,"i know, goodbye",56
588,0.599,0.173,0,-16.934,1,0.0339,0.961,0.931,0.122,0.158,139.979,audio_features,2LnTXLYDjCsqRIlv8GhTtn,spotify:track:2LnTXLYDjCsqRIlv8GhTtn,https://api.spotify.com/v1/tracks/2LnTXLYDjCsqRIlv8GhTtn,https://api.spotify.com/v1/audio-analysis/2LnTXLYDjCsqRIlv8GhTtn,144179,4,Study,Jhove,in the morning,54
589,0.523,0.305,4,-16.986,1,0.0513,0.885,0.925,0.138,0.0884,179.442,audio_features,5ZTw6hkkkzNGj2dP8WXT7L,spotify:track:5ZTw6hkkkzNGj2dP8WXT7L,https://api.spotify.com/v1/tracks/5ZTw6hkkkzNGj2dP8WXT7L,https://api.spotify.com/v1/audio-analysis/5ZTw6hkkkzNGj2dP8WXT7L,139933,3,Study,Towerz,a bridge between,60
590,0.798,0.42,2,-10.437,1,0.0541,0.815,0.803,0.0931,0.827,153.94,audio_features,4yrc58ERGKsSkbcPNSeZAS,spotify:track:4yrc58ERGKsSkbcPNSeZAS,https://api.spotify.com/v1/tracks/4yrc58ERGKsSkbcPNSeZAS,https://api.spotify.com/v1/audio-analysis/4yrc58ERGKsSkbcPNSeZAS,126360,4,Study,Tom Doolie,Rent a Van,59
591,0.733,0.243,5,-13.283,1,0.0425,0.874,0.944,0.126,0.41,152.063,audio_features,1lTPSJscUgRDemkxtHfdsi,spotify:track:1lTPSJscUgRDemkxtHfdsi,https://api.spotify.com/v1/tracks/1lTPSJscUgRDemkxtHfdsi,https://api.spotify.com/v1/audio-analysis/1lTPSJscUgRDemkxtHfdsi,120000,4,Study,Phlocalyst,Playgrounds,59
